AppID,Name,Primary_Genre,Price,Review_Score_Pct,Review_Count,Playtime_Hours,Languages_Count,Multiplayer
2995480,AsiaKingdom,4,0,2,1,0,1,0
1370430,Police Chase,4,0,0,0,0,1,0
253750,Ikaruga,0,2,2,2,0,1,1
1204760,James Town Courier Frog MD,0,0,2,0,0,1,0
766630,Dust and Salt,1,1,1,1,0,1,0
2458530,魔女的夜宴,1,2,2,2,1,1,0
3023600,Horse Farm Simulator,4,2,1,0,0,2,0
509110,Spikit,4,0,1,2,1,1,0
313730,Sunrider: Mask of Arcadius,10,0,2,2,1,1,0
1842610,Dungeon Wizards,4,1,2,1,0,1,0
1162680,[Chilla's Art] Stigmatized Property | 事故物件,0,1,1,2,0,2,0
2516990,Gunner-chan!,0,2,2,1,0,2,0
1267170,Carestia,0,0,2,0,0,2,0
854450,Arlo The Rabbit,0,1,2,0,0,1,0
1421250,Tiny Bunny,1,2,2,2,1,2,0
2707300,Cosmic Collapse,4,1,2,1,0,1,0
237890,Agarest: Generations of War,1,1,0,2,1,1,0
418240,Shadow Tactics: Blades of the Shogun,10,1,2,2,1,2,0
460850,Allumette,4,0,2,2,0,1,0
529060,Space Simulator,16,2,0,1,0,1,0
303610,Suicide Guy,0,0,2,2,1,2,0
2086810,Golden Rails: World’s Fair,1,1,2,0,1,1,0
881050,獣王/BEAST KING,16,2,1,0,0,1,0
3302960,Dark Times,10,0,2,0,0,1,0
787860,Farming Simulator 19,16,2,2,2,1,2,1
8970,Axel & Pixel,10,0,0,1,1,2,0
46510,Syberia II,1,1,1,2,1,2,0
1259560,Britannic: Patroness of the Mediterranean,4,2,2,2,0,1,0
1334070,Sleep,0,0,0,0,0,1,0
407150,Trap Them - Sniper Edition,0,1,0,0,1,1,0
23400,Imperium Romanum Gold Edition,16,2,1,2,1,1,0
2341070,The Banished Vault,10,2,1,1,1,1,0
252630,Eldritch,0,1,1,2,1,2,0
1336950,VoxFox,4,0,1,0,0,1,0
1507580,Enigma of Fear,0,2,2,2,1,1,0
869470,Tiny Hands Adventure,0,1,0,0,0,1,0
979500,雪策边境-BSP,0,2,0,0,0,1,1
391580,Egyptian Senet,4,0,1,2,0,2,1
2400510,Dungeons & Degenerate Gamblers,4,2,1,2,1,2,0
2325170,HAG,0,2,2,0,0,1,0
946380,TheMemory,1,2,1,0,0,1,0
210970,The Witness,1,2,1,2,1,2,0
1249150,Daedaluz,1,0,2,0,0,1,0
1932350,LogiNode,10,0,1,0,0,1,0
